trainset,StarGANv2-VC,Diff-HierVC,DDDM-VC,Tortoise-TTS,QuickVC,VITS-TTS,StyleTTS2,OpenVoice,MeloTTS,MMSTTS,SeamlessM4T-TTS,Elevenlabs
StarGANv2-VC,100.0,99.125,2.875,8.104166666666671,0.1666666666666714,21.55487804878049,0.0,0.0,0.0,0.0,3.068181818181813,0.0
Diff-HierVC,96.29166666666669,100.0,1.25,12.0625,0.0416666666666571,12.621951219512198,0.0,0.0,0.0,0.1388888888888857,1.363636363636374,0.1499999999999914
DDDM-VC,9.833333333333345,38.6875,100.0,1.75,1.3333333333333286,0.0304878048780494,0.0,0.0,0.0,0.5555555555555571,0.0,0.0
Tortoise-TTS,87.79166666666667,86.6875,14.0625,100.0,1.625,40.85365853658537,36.53846153846154,3.461538461538467,39.125,9.097222222222229,19.375,9.549999999999995
QuickVC,0.7916666666666714,0.25,0.0,0.1458333333333286,100.0,0.2439024390243958,0.0,0.0,0.0,0.0,0.0,0.0
VITS-TTS,94.375,93.9375,0.25,67.75,0.4583333333333428,100.0,1.82692307692308,0.0,28.75,0.9722222222222144,34.94318181818183,23.15000000000001
StyleTTS2,0.0,0.0,0.0,24.66666666666667,0.0833333333333286,0.3963414634146289,100.0,0.0480769230769198,29.125,9.791666666666671,0.0,3.424999999999997
OpenVoice,0.0,0.0,0.0,1.1875,0.0,0.0,0.6730769230769198,100.0,11.875,0.1388888888888857,0.0,0.0
MeloTTS,1.7083333333333286,2.6875,0.0,44.10416666666666,0.0,13.018292682926829,12.980769230769226,21.15384615384616,100.0,20.20833333333333,90.22727272727272,71.925
MMSTTS,1.0,8.3125,0.3125,16.85416666666667,0.0416666666666571,0.3658536585365795,16.057692307692307,15.57692307692308,30.0,100.0,79.14772727272728,69.05
SeamlessM4T-TTS,4.416666666666671,7.1875,0.0,17.770833333333343,0.0,1.7987804878048763,0.0,0.0,58.125,14.652777777777786,100.0,67.4
Elevenlabs,12.041666666666655,17.0625,0.0,41.6875,0.0,17.53048780487805,29.807692307692307,1.0576923076923066,68.125,62.56944444444444,99.0340909090909,100.0
